implementation,matrix_size,num_processes,mean_time,std_time,min_time,max_time,num_runs,speedup,efficiency,baseline_time
nonblocking,1200,2.0,10.4020994,2.2764418541828335,6.428607,12.299597,10,1.0,50.0,10.4020994
nonblocking,1200,4.0,11.1949438,1.2452422160814778,8.578495,12.954968,10,0.9291783492472736,23.22945873118184,10.4020994
nonblocking,1200,6.0,6.7452297,1.8761822560729275,3.044766,8.654191,10,1.5421416115747697,25.702360192912828,10.4020994
nonblocking,2400,2.0,109.9033178,0.705756845341825,108.348033,110.796713,10,1.0,50.0,109.9033178
nonblocking,2400,4.0,110.12393770000001,0.7251568738034855,108.977073,111.193711,10,0.9979966217644611,24.94991554411153,109.9033178
nonblocking,2400,6.0,73.7479015,0.510524531877485,72.824098,74.315492,10,1.4902568827670304,24.83761471278384,109.9033178
nonblocking,600,2.0,0.2041661,0.04182442934577829,0.179409,0.282384,10,1.0,50.0,0.2041661
nonblocking,600,4.0,0.2516828,0.03353022166411139,0.203245,0.300342,10,0.8112040234771705,20.28010058692926,0.2041661
nonblocking,600,6.0,0.1889038,0.031181806831690966,0.156592,0.253376,10,1.0807940337886266,18.01323389647711,0.2041661
rowwise,1200,2.0,10.836794000000001,2.0088473571213252,6.549664,12.259127,10,1.0,50.0,10.836794000000001
rowwise,1200,4.0,5.5419621,1.3490520188986577,2.076407,6.311851,10,1.955407453977356,48.8851863494339,10.836794000000001
rowwise,1200,6.0,3.437864,1.3043241274243658,0.952704,4.261269,10,3.1521881028452556,52.536468380754265,10.836794000000001
rowwise,2400,2.0,110.98835690000001,0.5722143552425553,110.185654,112.037659,10,1.0,50.0,110.98835690000001
rowwise,2400,4.0,55.76419550000001,0.4425623057916368,55.02239,56.312445,10,1.99031575556398,49.757893889099506,110.98835690000001
rowwise,2400,6.0,37.405295,0.18128355903451895,37.147194,37.74379,10,2.9671830391927134,49.45305065321189,110.98835690000001
rowwise,600,2.0,0.22010100000000002,0.055917174773647736,0.183962,0.337745,10,1.0,50.0,0.22010100000000002
rowwise,600,4.0,0.1646996,0.025951431706169883,0.130257,0.212057,10,1.3363784732931958,33.409461832329896,0.22010100000000002
rowwise,600,6.0,0.1236308,0.01485190914626429,0.098567,0.140398,10,1.780308790366155,29.67181317276925,0.22010100000000002
sequential,1200,2.0,4.8555442,0.31654997796689904,4.529733,5.294981,10,1.0,50.0,4.8555442
sequential,1200,4.0,4.8706179,0.37982286821518674,4.50674,5.519975,10,0.9969051770618261,24.922629426545654,4.8555442
sequential,1200,6.0,5.0111821,0.4759308238028458,4.583227,5.838164,10,0.9689418790029601,16.149031316716002,4.8555442
sequential,2400,2.0,116.73990189999999,0.5727988054416967,115.89699,117.348515,10,1.0,50.0,116.73990189999999
sequential,2400,4.0,117.8873958,2.2543228856233264,116.26044,123.917006,10,0.9902661867096737,24.75665466774184,116.73990189999999
sequential,2400,6.0,117.08770910000001,1.0347706410994846,115.566768,119.164774,10,0.9970295157137034,16.61715859522839,116.73990189999999
sequential,600,2.0,0.3463206,0.032011074757895205,0.330118,0.428411,10,1.0,50.0,0.3463206
sequential,600,4.0,0.3665774,0.09346884251414121,0.326696,0.630991,10,0.9447407286974047,23.618518217435117,0.3463206
sequential,600,6.0,0.3292169,0.001935275889031487,0.32727,0.333541,10,1.0519526792215101,17.532544653691836,0.3463206
