Algoritmo,Tipo,Hilos/Procesos,Iteraciones,Tiempo(s)
Needles,Serial,1,10000000,0.267378
Needles,Serial-Opt,1,10000000,0.163782
Dartboard,Serial,1,10000000,0.116400
Dartboard,Serial-Opt,1,10000000,0.031467
Needles,Serial,1,10000000,0.266514
Needles,Serial-Opt,1,10000000,0.164789
Dartboard,Serial,1,10000000,0.116461
Dartboard,Serial-Opt,1,10000000,0.031905
Needles,Serial,1,10000000,0.266410
Needles,Serial-Opt,1,10000000,0.164171
Dartboard,Serial,1,10000000,0.115405
Dartboard,Serial-Opt,1,10000000,0.031433
Needles,Serial,1,10000000,0.268161
Needles,Serial-Opt,1,10000000,0.165341
Dartboard,Serial,1,10000000,0.116686
Dartboard,Serial-Opt,1,10000000,0.031460
Needles,Serial,1,10000000,0.293766
Needles,Serial-Opt,1,10000000,0.175995
Dartboard,Serial,1,10000000,0.119045
Dartboard,Serial-Opt,1,10000000,0.031712
Needles,Threads,2,10000000,0.224472
Needles,Threads,2,10000000,0.217974
Needles,Threads,2,10000000,0.219551
Needles,Threads,2,10000000,0.224047
Needles,Threads,2,10000000,0.227331
Needles,Fork,2,10000000,0.111797
Needles,Fork,2,10000000,0.120437
Needles,Fork,2,10000000,0.116008
Needles,Fork,2,10000000,0.109456
Needles,Fork,2,10000000,0.116938
Dartboard,Threads,2,10000000,0.186100
Dartboard,Threads,2,10000000,0.191850
Dartboard,Threads,2,10000000,0.186253
Dartboard,Threads,2,10000000,0.163539
Dartboard,Threads,2,10000000,0.191360
Dartboard,Fork,2,10000000,0.049563
Dartboard,Fork,2,10000000,0.049810
Dartboard,Fork,2,10000000,0.049644
Dartboard,Fork,2,10000000,0.054192
Dartboard,Fork,2,10000000,0.049789
Needles,Threads,4,10000000,0.157626
Needles,Threads,4,10000000,0.157892
Needles,Threads,4,10000000,0.114919
Needles,Threads,4,10000000,0.202993
Needles,Threads,4,10000000,0.195281
Needles,Fork,4,10000000,0.058795
Needles,Fork,4,10000000,0.065596
Needles,Fork,4,10000000,0.062696
Needles,Fork,4,10000000,0.060083
Needles,Fork,4,10000000,0.065458
Dartboard,Threads,4,10000000,0.142850
Dartboard,Threads,4,10000000,0.101860
Dartboard,Threads,4,10000000,0.104657
Dartboard,Threads,4,10000000,0.189037
Dartboard,Threads,4,10000000,0.143127
Dartboard,Fork,4,10000000,0.028014
Dartboard,Fork,4,10000000,0.025318
Dartboard,Fork,4,10000000,0.026213
Dartboard,Fork,4,10000000,0.027445
Dartboard,Fork,4,10000000,0.026673
Needles,Threads,8,10000000,0.101882
Needles,Threads,8,10000000,0.105163
Needles,Threads,8,10000000,0.103451
Needles,Threads,8,10000000,0.101064
Needles,Threads,8,10000000,0.108642
Needles,Fork,8,10000000,0.034425
Needles,Fork,8,10000000,0.034401
Needles,Fork,8,10000000,0.034845
Needles,Fork,8,10000000,0.033272
Needles,Fork,8,10000000,0.034548
Dartboard,Threads,8,10000000,0.098580
Dartboard,Threads,8,10000000,0.103787
Dartboard,Threads,8,10000000,0.076817
Dartboard,Threads,8,10000000,0.098792
Dartboard,Threads,8,10000000,0.099326
Dartboard,Fork,8,10000000,0.014720
Dartboard,Fork,8,10000000,0.015699
Dartboard,Fork,8,10000000,0.014517
Dartboard,Fork,8,10000000,0.014454
Dartboard,Fork,8,10000000,0.014333
Needles,Threads,12,10000000,0.074838
Needles,Threads,12,10000000,0.070709
Needles,Threads,12,10000000,0.072875
Needles,Threads,12,10000000,0.073394
Needles,Threads,12,10000000,0.073479
Needles,Fork,12,10000000,0.025200
Needles,Fork,12,10000000,0.032866
Needles,Fork,12,10000000,0.028365
Needles,Fork,12,10000000,0.030402
Needles,Fork,12,10000000,0.030756
Dartboard,Threads,12,10000000,0.076942
Dartboard,Threads,12,10000000,0.069890
Dartboard,Threads,12,10000000,0.075655
Dartboard,Threads,12,10000000,0.073285
Dartboard,Threads,12,10000000,0.075482
Dartboard,Fork,12,10000000,0.010719
Dartboard,Fork,12,10000000,0.012317
Dartboard,Fork,12,10000000,0.011166
Dartboard,Fork,12,10000000,0.012603
Dartboard,Fork,12,10000000,0.017917
Needles,Serial,1,40000000,0.270353
Needles,Serial-Opt,1,40000000,0.656783
Dartboard,Serial,1,40000000,0.116175
Dartboard,Serial-Opt,1,40000000,0.125797
Needles,Serial,1,40000000,0.265604
Needles,Serial-Opt,1,40000000,0.658558
Dartboard,Serial,1,40000000,0.116279
Dartboard,Serial-Opt,1,40000000,0.125932
Needles,Serial,1,40000000,0.266971
Needles,Serial-Opt,1,40000000,0.657611
Dartboard,Serial,1,40000000,0.116639
Dartboard,Serial-Opt,1,40000000,0.126107
Needles,Serial,1,40000000,0.269752
Needles,Serial-Opt,1,40000000,0.662038
Dartboard,Serial,1,40000000,0.116994
Dartboard,Serial-Opt,1,40000000,0.127149
Needles,Serial,1,40000000,0.279313
Needles,Serial-Opt,1,40000000,0.657527
Dartboard,Serial,1,40000000,0.119352
Dartboard,Serial-Opt,1,40000000,0.125116
Needles,Threads,2,40000000,0.464872
Needles,Threads,2,40000000,0.891777
Needles,Threads,2,40000000,0.431850
Needles,Threads,2,40000000,0.886374
Needles,Threads,2,40000000,0.441161
Needles,Fork,2,40000000,0.433428
Needles,Fork,2,40000000,0.432433
Needles,Fork,2,40000000,0.438846
Needles,Fork,2,40000000,0.434871
Needles,Fork,2,40000000,0.466110
Dartboard,Threads,2,40000000,0.681973
Dartboard,Threads,2,40000000,0.762178
Dartboard,Threads,2,40000000,0.772669
Dartboard,Threads,2,40000000,0.200731
Dartboard,Threads,2,40000000,0.201960
Dartboard,Fork,2,40000000,0.201693
Dartboard,Fork,2,40000000,0.204534
Dartboard,Fork,2,40000000,0.207824
Dartboard,Fork,2,40000000,0.199081
Dartboard,Fork,2,40000000,0.203954
Needles,Threads,4,40000000,0.443888
Needles,Threads,4,40000000,0.464010
Needles,Threads,4,40000000,0.787317
Needles,Threads,4,40000000,0.621844
Needles,Threads,4,40000000,0.628527
Needles,Fork,4,40000000,0.244977
Needles,Fork,4,40000000,0.235644
Needles,Fork,4,40000000,0.239627
Needles,Fork,4,40000000,0.245283
Needles,Fork,4,40000000,0.248246
Dartboard,Threads,4,40000000,0.751847
Dartboard,Threads,4,40000000,0.388857
Dartboard,Threads,4,40000000,0.395647
Dartboard,Threads,4,40000000,0.738607
Dartboard,Threads,4,40000000,0.586416
Dartboard,Fork,4,40000000,0.104653
Dartboard,Fork,4,40000000,0.102279
Dartboard,Fork,4,40000000,0.103704
Dartboard,Fork,4,40000000,0.104723
Dartboard,Fork,4,40000000,0.101935
Needles,Threads,8,40000000,0.412568
Needles,Threads,8,40000000,0.408191
Needles,Threads,8,40000000,0.421194
Needles,Threads,8,40000000,0.397480
Needles,Threads,8,40000000,0.414365
Needles,Fork,8,40000000,0.143535
Needles,Fork,8,40000000,0.135631
Needles,Fork,8,40000000,0.139617
Needles,Fork,8,40000000,0.137399
Needles,Fork,8,40000000,0.137271
Dartboard,Threads,8,40000000,0.426458
Dartboard,Threads,8,40000000,0.391413
Dartboard,Threads,8,40000000,0.429688
Dartboard,Threads,8,40000000,0.414643
Dartboard,Threads,8,40000000,0.388349
Dartboard,Fork,8,40000000,0.056067
Dartboard,Fork,8,40000000,0.056072
Dartboard,Fork,8,40000000,0.060067
Dartboard,Fork,8,40000000,0.055045
Dartboard,Fork,8,40000000,0.057436
Needles,Threads,12,40000000,0.291241
Needles,Threads,12,40000000,0.280516
Needles,Threads,12,40000000,0.295435
Needles,Threads,12,40000000,0.287754
Needles,Threads,12,40000000,0.278665
Needles,Fork,12,40000000,0.117440
Needles,Fork,12,40000000,0.116287
Needles,Fork,12,40000000,0.110780
Needles,Fork,12,40000000,0.116775
Needles,Fork,12,40000000,0.109179
Dartboard,Threads,12,40000000,0.274642
Dartboard,Threads,12,40000000,0.287126
Dartboard,Threads,12,40000000,0.293373
Dartboard,Threads,12,40000000,0.295182
Dartboard,Threads,12,40000000,0.288029
Dartboard,Fork,12,40000000,0.041895
Dartboard,Fork,12,40000000,0.045796
Dartboard,Fork,12,40000000,0.060136
Dartboard,Fork,12,40000000,0.042959
Dartboard,Fork,12,40000000,0.050609
Needles,Serial,1,80000000,0.266885
Needles,Serial-Opt,1,80000000,1.315747
Dartboard,Serial,1,80000000,0.118412
Dartboard,Serial-Opt,1,80000000,0.253533
Needles,Serial,1,80000000,0.267621
Needles,Serial-Opt,1,80000000,1.318124
Dartboard,Serial,1,80000000,0.116376
Dartboard,Serial-Opt,1,80000000,0.251560
Needles,Serial,1,80000000,0.271910
Needles,Serial-Opt,1,80000000,1.319892
