Algoritmo,Tipo,Hilos/Procesos,Iteraciones,Tiempo(s),Speedup
Needles,Serial,1,10000000,0.266282,1.0000
Needles,Serial-Opt,1,10000000,0.165351,1.6104
Dartboard,Serial,1,10000000,0.116176,1.0000
Dartboard,Serial-Opt,1,10000000,0.031327,3.7085
Needles,Serial,1,10000000,0.267160,0.9967
Needles,Serial-Opt,1,10000000,0.167222,1.5924
Dartboard,Serial,1,10000000,0.123909,0.9376
Dartboard,Serial-Opt,1,10000000,0.031794,3.6540
Needles,Serial,1,10000000,0.289595,0.9195
Needles,Serial-Opt,1,10000000,0.167124,1.5933
Dartboard,Serial,1,10000000,0.116161,1.0001
Dartboard,Serial-Opt,1,10000000,0.033565,3.4612
Needles,Serial,1,10000000,0.267135,0.9968
Needles,Serial-Opt,1,10000000,0.165025,1.6136
Dartboard,Serial,1,10000000,0.118090,0.9838
Dartboard,Serial-Opt,1,10000000,0.031842,3.6485
Needles,Serial,1,10000000,0.270861,0.9831
Needles,Serial-Opt,1,10000000,0.168268,1.5825
Dartboard,Serial,1,10000000,0.119585,0.9715
Dartboard,Serial-Opt,1,10000000,0.032913,3.5298
Needles,Threads,2,10000000,0.115346,2.3085
Needles,Threads,2,10000000,0.222336,1.1977
Needles,Threads,2,10000000,0.120520,2.2094
Needles,Threads,2,10000000,0.117264,2.2708
Needles,Threads,2,10000000,0.223868,1.1895
Needles,Fork,2,10000000,0.123064,2.1638
Needles,Fork,2,10000000,0.124824,2.1333
Needles,Fork,2,10000000,0.117058,2.2748
Needles,Fork,2,10000000,0.119267,2.2327
Needles,Fork,2,10000000,0.119351,2.2311
Dartboard,Threads,2,10000000,0.140800,0.8251
Dartboard,Threads,2,10000000,0.163826,0.7091
Dartboard,Threads,2,10000000,0.188375,0.6167
Dartboard,Threads,2,10000000,0.181157,0.6413
Dartboard,Threads,2,10000000,0.192760,0.6027
Dartboard,Fork,2,10000000,0.050238,2.3125
Dartboard,Fork,2,10000000,0.050494,2.3008
Dartboard,Fork,2,10000000,0.052031,2.2328
Dartboard,Fork,2,10000000,0.050716,2.2907
Dartboard,Fork,2,10000000,0.050155,2.3163
Needles,Threads,4,10000000,0.158703,1.6779
Needles,Threads,4,10000000,0.197248,1.3500
Needles,Threads,4,10000000,0.157368,1.6921
Needles,Threads,4,10000000,0.203996,1.3053
Needles,Threads,4,10000000,0.160194,1.6622
Needles,Fork,4,10000000,0.063349,4.2034
