Algorithm,Version,Iterations,Threads,Avg_Time,Std_Time,Min_Time,Max_Time,Avg_PI,Std_PI
Dartboard,OMP_Basic,1000000,2,0.007029666666666667,0.00021209510445395287,0.006884,0.007273,3.1534,0.0
Dartboard,OMP_Basic,1000000,4,0.004415,4.17612260356421e-05,0.004387,0.004463,3.1433559999999994,0.0
Dartboard,OMP_Basic,1000000,8,0.004161333333333333,9.228939989691865e-05,0.004056,0.004228,3.1476640000000002,0.0
Dartboard,OMP_Basic,10000000,2,0.06539733333333334,0.0001206040353111521,0.06526,0.065486,3.1408052000000004,0.0
Dartboard,OMP_Basic,10000000,4,0.040780333333333335,0.0003842724727759374,0.040515,0.041221,3.1338104,0.0
Dartboard,OMP_Basic,10000000,8,0.032827,0.001078704778889947,0.031587,0.033549,3.1604136,0.0
Dartboard,OMP_Dynamic,1000000,2,0.012909333333333333,0.005853730804652135,0.008477,0.019545,3.1476866666666665,0.0008614066016310781
Dartboard,OMP_Dynamic,1000000,4,0.003914,0.00015511608556174978,0.003819,0.004093,3.136804,0.00039741162539621324
Dartboard,OMP_Dynamic,1000000,8,0.003130666666666667,4.0414518843273876e-05,0.003094,0.003174,3.0422813333333334,0.01599897613390734
Dartboard,OMP_Dynamic,10000000,2,0.06495466666666666,0.0004323937249005031,0.064554,0.065413,3.1362328,0.0013214973931114408
Dartboard,OMP_Dynamic,10000000,4,0.035138,0.0001028396810574604,0.035058,0.035254,3.138470266666667,0.002011954923285621
Dartboard,OMP_Dynamic,10000000,8,0.027947666666666666,0.00044495205734251044,0.027641,0.028458,3.1708484,0.00747447118664618
Dartboard,OMP_Guided,1000000,2,0.012837333333333333,0.005608292996387878,0.008576,0.019191,3.1346639999999995,0.00031233315546055234
Dartboard,OMP_Guided,1000000,4,0.003963,0.00013532553343696777,0.003859,0.004116,3.108886666666667,0.0023156729763363524
Dartboard,OMP_Guided,1000000,8,0.0032483333333333335,0.0003186570779589455,0.003018,0.003612,3.1728,0.05181599089084372
